,Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
8,United Arab Emirates,0.119036540896155,0.1091358220652569,0.16354181532753,0.175833133541117,0.132815159834551,0.146821927863601,0.160452309365604,5.4000164930964605,6.8071021793889,101.053155295589,65.01750869891521,76.34985205234571,70.865255855551,77.61913462147609,67.0161768889973,56.66747097821429,62.1565369651025,52.7449748214108,53.6379584391584,39.2890608230516,36.19856263860871,33.6102040667444,31.6545145327674,28.7698682167955,35.8546828751826,36.5447841219765,32.6569995837902,31.1002239283847,29.7269259797378,31.5748454518693,30.2991024574541,31.7475230479274,29.0516987742171,28.599235666445,29.7640710310468,30.0774419599362,29.8567890226578,30.4900760324045,29.805766642708303,28.9949963402246,26.9745350051546,29.145656219324497,28.2053795466155,27.891143450673,27.0315641070576,25.3431503532305,22.916237435313395,21.3475907811607,22.0326269069436,19.8525570618923,19.0432793083694,18.5899325991994,19.223116133525,20.0154208978824,19.9518524813163,20.9480922596993,21.307609517171,21.950614332607497,20.7974984025486
9,Argentina,2.3833427376261898,2.4585509531269,2.53844723609966,2.33068461899148,2.5534415634371497,2.65646645767414,2.80689601610312,2.8710992816465004,2.98177718766029,3.2881609200729702,3.4645268009582995,3.66615896312069,3.65700859913686,3.7541547244774094,3.75336616225436,3.6701508460504297,3.7992619822795497,3.78041563238415,3.79288180377096,4.02980880305759,3.89788777329024,3.60081015539488,3.59179316919348,3.59556379664322,3.5821480153224097,3.3292250959780496,3.39465765033634,3.6858837898205,3.83571555712681,3.64223211441459,3.0608258196354403,3.1838929118841,3.20167542914679,3.26846227107407,3.30817356060368,3.2677572934643,3.59072376689167,3.57064352183687,3.69265825392029,3.679743269694991,3.57762821285442,3.34990858910446,3.1174247964060497,3.3701021737474104,3.6851842085505098,3.76212392773554,3.954453814005421,4.12329277901139,4.19534263823654,3.88906040211758,4.12224508735352,4.29601548562594,4.277881788849,4.3598863443976095,4.216360632301759,4.31443352245988,4.22753944174089,4.0894715157252,3.987234198058899
12,Antigua and Barbuda,0.6774181630089411,0.866666666666667,1.83845726870669,1.48746935680147,1.5904477715515,2.5613213172285696,5.814611430097481,9.22139124755062,15.835612494602,19.7910562837317,7.19870995886825,6.609876619945919,5.8320703526990405,5.18515609043347,6.798488305761549,11.2927989022036,6.46913540647603,7.491859978765159,7.92059705341887,6.57062374895073,2.31184429608315,1.72106685656023,4.7484622855293,1.36520500493695,2.37407743105011,4.03586631059319,4.03789228228131,4.456516455203929,4.63139998056932,4.61280178044414,3.35822685621992,3.47205782554488,4.498983850199349,3.8007206166289103,3.72018273537596,3.9317334575955294,3.98996808025536,4.18369196870598,4.50702686461164,4.41920882770442,4.34170536924231,4.532974149096,4.980970139722599,5.169522512640111,4.97840616326683,5.03302153151162,5.31947047089403,5.474300539099599,5.62100381759843,16.0243477859885,5.566284221288201,5.71428571428571,7.96398508965014,5.136050704841,5.18571335969404,5.23666520610018,5.289885738468049,5.2397170552790095,5.50466338464095
13,Australia,8.58293664258675,8.64156901650291,8.83568804691864,9.2264399086758,9.75907343064386,10.6223213909378,10.3280924384173,10.9556247987118,11.2101677075527,11.6005543504852,11.8028905412969,11.8091175697612,11.9516315549822,12.7796868460389,12.559668731327,12.6598998056575,12.416791776526802,13.2318961386697,14.069858615406,14.1290919801571,15.024916008712198,15.4325008374087,15.4249318091975,14.6400841303923,15.2209752959341,15.3084102043407,14.9805731533736,15.7469578022492,15.7961677816625,16.519862915120402,15.4467304615853,15.3153205276556,15.3392397827951,15.416312899756598,15.6073928871465,15.9921425409473,16.3612036480804,16.566938488956097,17.511624178290802,17.5969565676847,17.689656972797998,17.769535878019898,17.9574992112521,17.692029313308602,18.1478978904379,18.117853570518,18.1206789094546,18.5028519848662,18.2830412439057,18.2074249597772,17.5814449601144,17.2681103655036,16.9692565563587,16.3986459950997,15.755876100915598,15.7864494009173,15.8720795379851,15.7386474030825,15.475516485656
14,Austria,4.37331882803344,4.49636164096378,4.75536167309783,5.155193747438441,5.39100398806667,5.2521965333262495,5.361724682623731,5.4177367270534695,5.711110104197981,6.00632517835173,6.78880730716105,6.953651911970461,7.448516814437999,7.93086698527507,7.56269727826075,7.176844854723701,7.7212500123917405,7.42806328393075,7.60137180396718,8.158846402209441,6.92847899968117,7.416160613895889,7.11212494091738,6.874373273419019,7.21427866724751,7.23076635313884,7.144304851624759,7.62341981462749,7.03203069825559,7.10244899742991,7.58936421003276,8.04911377864628,7.35520218898572,7.31124250265602,7.34490086966953,7.69726474086588,8.1542733229493,8.059697483986339,8.107272236986589,7.888819322139589,7.92978551259517,8.44410916140459,8.58331713469893,9.16834402049986,9.275613726244089,9.26611381933193,8.96156938002267,8.58780201813347,8.49967361637859,7.721144201177401,8.36501501063443,8.13547478127942,7.723614414297709,7.753699576040679,7.253383781344941,7.306745265570401,7.25562651573804,7.482751479215961,7.14663762463773
17,Belgium,9.94159407412845,10.1038719949198,10.6411896304115,11.3869287398935,11.0536547171057,11.141655554871098,11.0420194279754,11.2172567535028,12.325687126277002,12.8154496066362,13.0101788101329,12.5634251757595,13.4726952569298,14.2554864028118,13.8369655455829,12.4583038966604,13.2416797859736,12.8754387174913,13.807057935873802,14.239233815260198,13.7232962736892,12.579555069681598,11.9266847823165,10.3120794235109,10.6969663854393,10.5974402503959,10.4315417139407,10.4471727823271,10.135143850569,10.813514942144,10.9667747158004,11.390890046725,11.1825020572101,10.9187637432787,11.3586901344388,11.3023711303289,11.760782629132098,11.4563592173649,11.7034113861324,11.295253988713,11.4405560297525,11.5043206822099,10.7279886303644,11.1313145272907,10.9412245516012,10.555782313639302,10.3005719211244,9.84311621822562,9.98415215425847,9.23170144231094,9.771847058065529,8.65806434779962,8.54961568145011,8.65727005028135,8.04349554115034,8.44406111087655,8.32375671826537,8.1554911149366,8.179711061136139
21,Bulgaria,2.83390112126359,3.26992007420763,3.83589181806542,4.25978092742826,5.262987915533981,5.64565194179349,5.90543671471388,6.638369161079369,7.11221440252304,7.86993281616737,7.21342437205919,7.53255267592467,7.7156567011030495,7.983550221222281,8.21095803598331,8.37787747877417,8.347946172669849,8.62876646248721,9.236529547430733,8.96813200633587,8.74423866745434,9.03643153048149,10.107275314027302,10.108336620156,9.74996147055374,9.99278347627662,10.217299937677,10.2141340013258,9.71884349134872,9.77126186722229,8.43743537292696,6.7895630480029405,6.45537954540452,6.57081484123639,6.33853534592095,6.506015238755531,6.58389879210688,6.420784815523651,6.12708140915848,5.39544862850862,5.30343792027879,5.76591100519881,5.56706695192302,6.1592264865516295,6.11388569962394,6.25149171455386,6.442554698565531,6.9738426562203095,6.67728964769189,5.7720906721967005,6.064417500191669,6.759360768871501,6.175840637031389,5.480986880455441,5.84584197704908,6.22597604260022,5.855926256295401,6.223901903165751,5.854773433933519
22,Bahrain,3.54443479920458,10.548966938457,9.1918563012591,6.710612881858291,8.74202790779056,6.55408361432413,3.38430534191934,5.12474752626747,5.50090205928673,6.17582764260788,12.1941845752962,13.798416783546902,16.0665587320151,23.0558642658239,21.456873144163698,21.585964583177,23.171889647783605,24.6386635836778,24.01073985680189,23.726111713982306,21.9165955815136,22.788877900139,25.491603899956697,20.7560278571627,22.6107339041777,24.3051489170966,25.4038290293856,25.4577342916515,26.1467998572651,24.3993568650601,21.6564131414503,20.3035926569654,23.457125269078304,24.3746876235519,24.327225750104603,24.0199539469716,24.4875669865431,24.2382678883292,25.2730582029894,24.2718446601942,23.8937121018342,23.4965235466992,23.4241096933917,23.063844213748897,21.606418540307494,23.2804780258155,23.476064326503,22.212054166135697,22.222321905180603,20.867877560492,20.9370245248472,20.3653240261534,20.4393734489693,21.8702401239821,22.6185245866057,22.3055968824648,21.1811953067521,20.3336240367799,19.592975838515603
23,"Bahamas, The",3.74962568016653,4.7462451897601605,5.995986522643941,5.55780587403801,8.118110766239111,9.3992074825075,7.465217480410709,11.1724795408233,10.2857584085523,10.6260737223389,15.1983397883998,38.7167584850541,36.4920753613736,43.373140001873104,39.917911455660295,43.69844093279329,33.513843745302,49.3026382546931,32.796646846864704,33.6453048919613,37.9430692011454,13.0112158126704,10.2757673197627,8.95999466891757,8.07045273646988,6.44049126307129,5.906597774244831,5.848749306312049,6.224020109031691,7.734934733731099,6.94696499588256,7.2028719536257695,9.51027711368728,7.747219301643519,7.39535035472306,7.4238254829948,6.93710824705965,6.15945685422271,7.811424638678599,7.58340899739172,7.180123806807701,7.038576687440929,7.41085039508284,7.18567463903961,6.77343184077418,6.218292863123679,6.10212909930158,6.13538755198037,6.13943202979516,17.2196796338673,5.86021141839656,6.73001782620424,10.0115242545678,8.47037547458615,7.069139966273191,6.33351149118119,5.7948312222331,5.6319728407933,5.86046391017413
30,Barbados,0.7461480182695849,0.838739329702483,1.1192229487196002,0.816172442131215,0.765951370061555,0.8722978569759791,1.13388031378662,1.42551582220983,1.85482273300146,2.01870458852847,1.79593126687457,2.01606877335033,2.08004620677948,1.97624199838734,2.00855123588249,2.30902509770148,2.14761454698203,2.37168934363338,2.5208792965627502,2.3926603460554503,2.67337591327638,2.70722395932032,2.54013334487834,2.69133917603055,2.9279393173198502,3.3055373448841,3.5654974194627296,3.65261693254577,3.65326485693324,3.80860975300141,3.75575339263336,3.74171477442805,4.48856936361216,3.75186171926221,3.8883624708844704,4.02323701378053,4.00678532243388,4.362692638981589,4.71533486303252,4.80671461056368,4.56703411648147,4.8441433572849295,5.01055141666941,5.030419456787599,4.94037045513163,5.13896931094383,5.297774574285969,5.310350519015,6.35836911404342,16.4350229627864,5.635679879205049,5.9013311565549005,7.78997384542718,5.20587842163394,4.52909681383306,4.52112838953201,4.58365698850237,4.19244730617792,4.36087077867709
